,Country,Year,Value
0,CAN,YR2014,22.4167995453
1,CAN,YR2015,22.64220047
2,DEU,YR2014,14.0247001648
3,DEU,YR2015,14.5502996445
4,FRA,YR2014,13.3534002304
5,FRA,YR2015,13.4837999344
6,GBR,YR2014,7.3604001999
7,GBR,YR2015,8.5876998901
8,ITA,YR2014,17.1315994263
9,ITA,YR2015,16.5704994202
10,JPN,YR2014,5.7199001312
11,JPN,YR2015,6.3234000206
12,RUS,YR2014,3.2960999012
13,RUS,YR2015,3.2002999783
14,USA,YR2014,9.2204999924
15,USA,YR2015,9.0339002609
16,CAN,YR2014,22.4167995453
17,CAN,YR2015,22.64220047
18,DEU,YR2014,14.0247001648
19,DEU,YR2015,14.5502996445
20,FRA,YR2014,13.3534002304
21,FRA,YR2015,13.4837999344
22,GBR,YR2014,7.3604001999
23,GBR,YR2015,8.5876998901
24,ITA,YR2014,17.1315994263
25,ITA,YR2015,16.5704994202
26,JPN,YR2014,5.7199001312
27,JPN,YR2015,6.3234000206
28,RUS,YR2014,3.2960999012
29,RUS,YR2015,3.2002999783
30,USA,YR2014,9.2204999924
31,USA,YR2015,9.0339002609
32,CAN,YR2014,22.4167995453
33,CAN,YR2015,22.64220047
34,DEU,YR2014,14.0247001648
35,DEU,YR2015,14.5502996445
36,FRA,YR2014,13.3534002304
37,FRA,YR2015,13.4837999344
38,GBR,YR2014,7.3604001999
39,GBR,YR2015,8.5876998901
40,ITA,YR2014,17.1315994263
41,ITA,YR2015,16.5704994202
42,JPN,YR2014,5.7199001312
43,JPN,YR2015,6.3234000206
44,RUS,YR2014,3.2960999012
45,RUS,YR2015,3.2002999783
46,USA,YR2014,9.2204999924
47,USA,YR2015,9.0339002609
48,CAN,YR2014,22.4167995453
49,CAN,YR2015,22.64220047
50,DEU,YR2014,14.0247001648
51,DEU,YR2015,14.5502996445
52,FRA,YR2014,13.3534002304
53,FRA,YR2015,13.4837999344
54,GBR,YR2014,7.3604001999
55,GBR,YR2015,8.5876998901
56,ITA,YR2014,17.1315994263
57,ITA,YR2015,16.5704994202
58,JPN,YR2014,5.7199001312
59,JPN,YR2015,6.3234000206
60,RUS,YR2014,3.2960999012
61,RUS,YR2015,3.2002999783
62,USA,YR2014,9.2204999924
63,USA,YR2015,9.0339002609
64,CAN,YR2014,22.4167995453
65,CAN,YR2015,22.64220047
66,DEU,YR2014,14.0247001648
67,DEU,YR2015,14.5502996445
68,FRA,YR2014,13.3534002304
69,FRA,YR2015,13.4837999344
70,GBR,YR2014,7.3604001999
71,GBR,YR2015,8.5876998901
72,ITA,YR2014,17.1315994263
73,ITA,YR2015,16.5704994202
74,JPN,YR2014,5.7199001312
75,JPN,YR2015,6.3234000206
76,RUS,YR2014,3.2960999012
77,RUS,YR2015,3.2002999783
78,USA,YR2014,9.2204999924
79,USA,YR2015,9.0339002609
80,CAN,YR2014,22.4167995453
81,CAN,YR2015,22.64220047
82,DEU,YR2014,14.0247001648
83,DEU,YR2015,14.5502996445
84,FRA,YR2014,13.3534002304
85,FRA,YR2015,13.4837999344
86,GBR,YR2014,7.3604001999
87,GBR,YR2015,8.5876998901
88,ITA,YR2014,17.1315994263
89,ITA,YR2015,16.5704994202
90,JPN,YR2014,5.7199001312
91,JPN,YR2015,6.3234000206
92,RUS,YR2014,3.2960999012
93,RUS,YR2015,3.2002999783
94,USA,YR2014,9.2204999924
95,USA,YR2015,9.0339002609
96,CAN,YR2014,22.4167995453
97,CAN,YR2015,22.64220047
98,DEU,YR2014,14.0247001648
99,DEU,YR2015,14.5502996445
100,FRA,YR2014,13.3534002304
101,FRA,YR2015,13.4837999344
102,GBR,YR2014,7.3604001999
103,GBR,YR2015,8.5876998901
104,ITA,YR2014,17.1315994263
105,ITA,YR2015,16.5704994202
106,JPN,YR2014,5.7199001312
107,JPN,YR2015,6.3234000206
108,RUS,YR2014,3.2960999012
109,RUS,YR2015,3.2002999783
110,USA,YR2014,9.2204999924
111,USA,YR2015,9.0339002609
