economy,SP.POP.0014.TO.ZS
ABW,17.8024469743493
AFG,43.0901755117794
AGO,46.8089247095412
ALB,17.672873724304
AND,
ARE,14.6035093701468
ARG,24.7609338351238
ARM,20.6334219249969
ASM,
ATG,22.0810917475022
AUS,19.1906170385658
AUT,14.2979476320233
AZE,23.3695698603865
BDI,45.5016807491186
BEL,17.0554227603857
BEN,42.4476823945995
BFA,44.9480813221662
BGD,27.706022482501
BGR,14.5954653179814
BHR,19.2543101196218
BHS,22.4848756732367
BIH,14.7662176493152
BLR,16.8659430504801
BLZ,30.2797653698662
BMU,
BOL,31.0735477456373
BRA,21.3340719108545
BRB,17.342948147683
BRN,23.0264614896856
BTN,25.7713537330923
BWA,34.1129460158256
CAF,44.294320550801
CAN,15.8702508744405
CHE,14.9109547691069
CHI,15.1883588760051
CHL,19.7539024707995
CHN,17.8770027525543
CIV,41.9369721367589
CMR,42.6315798448676
COD,46.1656420864844
COG,41.7635024604532
COL,23.077895979964
COM,39.5384238311615
CPV,28.7777669479759
CRI,21.3247441063911
CUB,16.2112389922363
CUW,18.8839461266221
CYM,
CYP,16.787847956511
CZE,15.5866055197434
DEU,13.6210301045356
DJI,29.5741159613441
DMA,
DNK,16.4582625623987
DOM,27.9771295026574
DZA,30.1486785862257
ECU,28.0285920021109
EGY,33.7987207092348
ERI,
ESP,14.6670011075355
EST,16.3570737459559
ETH,40.7829819073234
FIN,16.1451829725838
FJI,29.5126222009931
FRA,17.9564644444787
FRO,
FSM,31.7072088068182
GAB,37.0258696960045
GBR,17.6780820689573
GEO,19.7952406005383
GHA,37.5960615850344
GIB,
GIN,43.8501733445473
GMB,44.2687450605107
GNB,42.3391522075139
GNQ,37.1165988655245
GRC,14.0712448654023
GRD,23.5612898594936
GRL,
GTM,34.4353953933618
GUM,24.4637083152357
GUY,28.214545202476
HKG,11.9008970757204
HND,31.7408815333097
HRV,14.5119400058464
HTI,33.242244257891
HUN,14.4119922134424
IDN,26.5511973052634
IMN,
IND,27.0533018530221
IRL,21.4064195870662
IRN,24.4765586602319
IRQ,38.3865654011074
ISL,19.8323201064408
ISR,27.9252464589938
ITA,13.3291160906398
JAM,23.7500966830639
JOR,34.2454902091433
JPN,12.6968488090205
KAZ,28.4605497778393
KEN,39.7821669340692
KGZ,32.3504171141318
KHM,31.2014147627244
KIR,35.5399794556613
KNA,
KOR,12.9733235784635
KWT,21.5388880509858
LAO,32.6039186819471
LBN,26.0958671652131
LBR,41.1249865894663
LBY,28.3192377277793
LCA,18.5288830000715
LIE,
LKA,24.1970010216799
LSO,32.7163515354347
LTU,14.8824245055089
LUX,15.8788239869589
LVA,15.9957769389964
MAC,13.654066582652
MAF,
MAR,27.2063801328554
MCO,
MDA,15.8600908600909
MDG,40.6681505928286
MDV,20.1479166020291
MEX,26.5568481908521
MHL,
MKD,16.5169996308133
MLI,47.5434863934943
MLT,14.2769005208902
MMR,26.3710482845116
MNE,18.2095191371898
MNG,30.4095683070176
MNP,
MOZ,44.6708001531326
MRT,40.0831828216618
MUS,17.793692318012
MWI,43.9022859066284
MYS,23.9951410860297
NAM,36.9102491891316
NCL,22.7409256659988
NER,49.9843246094453
NGA,43.8666399781742
NIC,30.2016811999565
NLD,16.1081587098378
NOR,17.5490383783174
NPL,30.4142653217498
NRU,
NZL,19.6534314569849
OMN,22.2465059852286
PAK,35.2698145995487
PAN,27.0623043241241
PER,25.7906028460802
PHL,30.9630402017999
PLW,
PNG,35.8159344007888
POL,15.052276813695
PRI,16.8360861114438
PRK,20.2021135043815
PRT,13.4579078221324
PRY,29.4405055961229
PSE,38.9473612779327
PYF,22.7618941295525
QAT,13.5407641851225
ROU,15.5345549605626
RUS,17.9140805801319
RWA,39.9755730179801
SAU,25.0428481279098
SDN,40.5087918665567
SEN,43.0554303706314
SGP,12.2782826362627
SLB,40.2415842979397
SLE,41.0596393534767
SLV,27.1320809139623
SMR,
SOM,46.5765840679638
SRB,15.6896807521828
SSD,41.8201214348455
STP,42.5199499592471
SUR,27.170263372628
SVK,15.4461367603311
SVN,15.0217750478021
SWE,17.5817854599214
SWZ,38.1124915403848
SXM,
SYC,23.6353711790393
SYR,31.4215408068559
TCA,
TCD,47.126299988842
TGO,41.334523499723
THA,17.0869888171064
TJK,36.7842840794279
TKM,30.8223639401863
TLS,37.7806642722958
TON,35.4157582100255
TTO,20.419572570427
TUN,24.1701203463736
TUR,24.6494101390807
TUV,
TZA,44.0982381505459
UGA,46.9305251819863
UKR,15.8124131732483
URY,20.6079810743386
USA,18.7090399824651
UZB,28.6860574147675
VCT,22.5413071290525
VEN,27.6666505810652
VGB,
VIR,19.7134123041651
VNM,23.1726768317012
VUT,38.8482301489682
WSM,38.3206970922199
XKX,
YEM,39.6148902740523
ZAF,29.0794891477129
ZMB,44.9361411568244
ZWE,42.4010662380439
