economy,SE.COM.DURS
ABW,13.0
AFG,9.0
AGO,6.0
ALB,9.0
AND,10.0
ARE,12.0
ARG,14.0
ARM,12.0
ASM,
ATG,11.0
AUS,10.0
AUT,13.0
AZE,10.0
BDI,
BEL,12.0
BEN,6.0
BFA,10.0
BGD,5.0
BGR,11.0
BHR,9.0
BHS,12.0
BIH,9.0
BLR,9.0
BLZ,8.0
BMU,13.0
BOL,14.0
BRA,14.0
BRB,11.0
BRN,9.0
BTN,
BWA,
CAF,10.0
CAN,10.0
CHE,11.0
CHI,
CHL,12.0
CHN,9.0
CIV,10.0
CMR,6.0
COD,6.0
COG,10.0
COL,12.0
COM,6.0
CPV,10.0
CRI,13.0
CUB,9.0
CUW,14.0
CYM,12.0
CYP,10.0
CZE,9.0
DEU,13.0
DJI,10.0
DMA,12.0
DNK,10.0
DOM,15.0
DZA,10.0
ECU,15.0
EGY,12.0
ERI,8.0
ESP,10.0
EST,9.0
ETH,8.0
FIN,10.0
FJI,
FRA,10.0
FRO,9.0
FSM,8.0
GAB,10.0
GBR,11.0
GEO,9.0
GHA,11.0
GIB,10.0
GIN,6.0
GMB,9.0
GNB,9.0
GNQ,6.0
GRC,10.0
GRD,12.0
GRL,10.0
GTM,16.0
GUM,0.0
GUY,6.0
HKG,9.0
HND,12.0
HRV,8.0
HTI,6.0
HUN,13.0
IDN,9.0
IMN,
IND,8.0
IRL,10.0
IRN,9.0
IRQ,6.0
ISL,10.0
ISR,15.0
ITA,12.0
JAM,6.0
JOR,10.0
JPN,9.0
KAZ,9.0
KEN,12.0
KGZ,10.0
KHM,
KIR,9.0
KNA,12.0
KOR,9.0
KWT,9.0
LAO,9.0
LBN,10.0
LBR,6.0
LBY,9.0
LCA,10.0
LIE,9.0
LKA,11.0
LSO,7.0
LTU,11.0
LUX,12.0
LVA,11.0
MAC,10.0
MAF,
MAR,9.0
MCO,11.0
MDA,12.0
MDG,5.0
MDV,7.0
MEX,14.0
MHL,13.0
MKD,13.0
MLI,9.0
MLT,11.0
MMR,5.0
MNE,9.0
MNG,12.0
MNP,
MOZ,
MRT,9.0
MUS,11.0
MWI,8.0
MYS,6.0
NAM,7.0
NCL,0.0
NER,
NGA,9.0
NIC,7.0
NLD,13.0
NOR,10.0
NPL,9.0
NRU,14.0
NZL,10.0
OMN,10.0
PAK,12.0
PAN,11.0
PER,14.0
PHL,13.0
PLW,12.0
PNG,
POL,10.0
PRI,13.0
PRK,12.0
PRT,12.0
PRY,13.0
PSE,10.0
PYF,
QAT,9.0
ROU,10.0
RUS,11.0
RWA,6.0
SAU,9.0
SDN,8.0
SEN,11.0
SGP,6.0
SLB,
SLE,9.0
SLV,15.0
SMR,10.0
SOM,
SRB,8.0
SSD,8.0
STP,6.0
SUR,6.0
SVK,10.0
SVN,9.0
SWE,9.0
SWZ,7.0
SXM,14.0
SYC,10.0
SYR,9.0
TCA,13.0
TCD,10.0
TGO,10.0
THA,9.0
TJK,9.0
TKM,12.0
TLS,9.0
TON,15.0
TTO,7.0
TUN,9.0
TUR,12.0
TUV,8.0
TZA,7.0
UGA,7.0
UKR,11.0
URY,14.0
USA,12.0
UZB,12.0
VCT,12.0
VEN,17.0
VGB,12.0
VIR,
VNM,10.0
VUT,
WSM,8.0
XKX,
YEM,9.0
ZAF,9.0
ZMB,7.0
ZWE,7.0
