economy,SP.POP.TOTL
ABW,105846.0
AFG,37171922.0
AGO,30809787.0
ALB,2866376.0
AND,77008.0
ARE,9630966.0
ARG,44494502.0
ARM,2951741.0
ASM,55461.0
ATG,96282.0
AUS,24982688.0
AUT,8840521.0
AZE,9939771.0
BDI,11175379.0
BEL,11427054.0
BEN,11485035.0
BFA,19751466.0
BGD,161376713.0
BGR,7025037.0
BHR,1569440.0
BHS,385635.0
BIH,3323929.0
BLR,9483499.0
BLZ,383071.0
BMU,63919.0
BOL,11353140.0
BRA,209469320.0
BRB,286640.0
BRN,428960.0
BTN,754396.0
BWA,2254067.0
CAF,4666375.0
CAN,37065178.0
CHE,8514329.0
CHI,170496.0
CHL,18729166.0
CHN,1392730000.0
CIV,25069226.0
CMR,25216261.0
COD,84068092.0
COG,5244363.0
COL,49661056.0
COM,832322.0
CPV,543764.0
CRI,4999443.0
CUB,11338146.0
CUW,159336.0
CYM,64172.0
CYP,1189262.0
CZE,10629928.0
DEU,82905782.0
DJI,958923.0
DMA,71626.0
DNK,5793636.0
DOM,10627147.0
DZA,42228415.0
ECU,17084359.0
EGY,98423602.0
ERI,
ESP,46797754.0
EST,1321977.0
ETH,109224410.0
FIN,5515525.0
FJI,883490.0
FRA,67101930.0
FRO,48497.0
FSM,112640.0
GAB,2119275.0
GBR,66460344.0
GEO,3726549.0
GHA,29767108.0
GIB,33715.0
GIN,12414292.0
GMB,2280092.0
GNB,1874304.0
GNQ,1308966.0
GRC,10732882.0
GRD,111449.0
GRL,56023.0
GTM,16346950.0
GUM,165770.0
GUY,779007.0
HKG,7451000.0
HND,9587523.0
HRV,4087843.0
HTI,11123183.0
HUN,9775564.0
IDN,267670549.0
IMN,84073.0
IND,1352642283.0
IRL,4867316.0
IRN,81800204.0
IRQ,38433604.0
ISL,352721.0
ISR,8882800.0
ITA,60421760.0
JAM,2934853.0
JOR,9965322.0
JPN,126529100.0
KAZ,18276452.0
KEN,51392570.0
KGZ,6322800.0
KHM,16249795.0
KIR,115842.0
KNA,52438.0
KOR,51606633.0
KWT,4137314.0
LAO,7061498.0
LBN,6859408.0
LBR,4818976.0
LBY,6678565.0
LCA,181890.0
LIE,37918.0
LKA,21670000.0
LSO,2108327.0
LTU,2801543.0
LUX,607950.0
LVA,1927174.0
MAC,631633.0
MAF,37264.0
MAR,36029089.0
MCO,38682.0
MDA,2708214.0
MDG,26262313.0
MDV,515704.0
MEX,126190782.0
MHL,58412.0
MKD,2082957.0
MLI,19077755.0
MLT,484630.0
MMR,53708318.0
MNE,622227.0
MNG,3170214.0
MNP,56889.0
MOZ,29496009.0
MRT,4403312.0
MUS,1265303.0
MWI,18143215.0
MYS,31528033.0
NAM,2448300.0
NCL,270650.0
NER,22442831.0
NGA,195874685.0
NIC,6465502.0
NLD,17231624.0
NOR,5311916.0
NPL,28095712.0
NRU,10678.0
NZL,4900600.0
OMN,4829476.0
PAK,212228288.0
PAN,4176868.0
PER,31989265.0
PHL,106651394.0
PLW,17911.0
PNG,8606324.0
POL,37974750.0
PRI,3193354.0
PRK,25549606.0
PRT,10283822.0
PRY,6956069.0
PSE,4569087.0
PYF,277673.0
QAT,2781682.0
ROU,19473970.0
RUS,144477859.0
RWA,12301969.0
SAU,33702757.0
SDN,41801532.0
SEN,15854324.0
SGP,5638676.0
SLB,652856.0
SLE,7650149.0
SLV,6420740.0
SMR,33784.0
SOM,15008225.0
SRB,6982604.0
SSD,10975924.0
STP,211032.0
SUR,575987.0
SVK,5446771.0
SVN,2073894.0
SWE,10175214.0
SWZ,1136274.0
SXM,40654.0
SYC,96762.0
SYR,16945062.0
TCA,37667.0
TCD,15477727.0
TGO,7889095.0
THA,69428454.0
TJK,9100847.0
TKM,5850902.0
TLS,1267975.0
TON,103199.0
TTO,1389841.0
TUN,11565203.0
TUR,82340090.0
TUV,11505.0
TZA,56313444.0
UGA,42729032.0
UKR,44622518.0
URY,3449290.0
USA,326838199.0
UZB,32956100.0
VCT,110210.0
VEN,28887117.0
VGB,29795.0
VIR,107001.0
VNM,95545959.0
VUT,292675.0
WSM,196128.0
XKX,1797085.0
YEM,28498683.0
ZAF,57792520.0
ZMB,17351714.0
ZWE,14438812.0
